Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
The structure and mechanical properties in amorphous alumina under pressure,2013,Computational Materials Science,79,,,110,117,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880076957&partnerID=40&md5=bd28a02bbaa63c5c836f50d648ca9464,Article,Scopus,2-s2.0-84880076957
Antioxidant activities and total phenolic content of macroalgae from central coast of Vietnam,2013,Asian Journal of Chemistry,25,12,,6639,6642,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880057620&partnerID=40&md5=c927989498d00c313d5876ddbc5563c9,Article,Scopus,2-s2.0-84880057620
A combination trust model for multi-agent systems,2013,"International Journal of Innovative Computing, Information and Control",9,6,,2405,2420,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880080890&partnerID=40&md5=95f5cf8e21d83a77f63271b9818873be,Article,Scopus,2-s2.0-84880080890
Synthesis of some peracetylated glucopyranosyl thiosemicarbazones of substituted 4-formylcoumarins,2013,Asian Journal of Chemistry,25,12,,6609,6611,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880062647&partnerID=40&md5=1c47491bc2b91d0a3e24b7f846f4da5c,Article,Scopus,2-s2.0-84880062647
Expanding applications of copper-based metal-organic frameworks in catalysis: Oxidative C-O coupling by direct C-H activation of ethers over Cu2(BPDC)2(BPY) as an efficient heterogeneous catalyst,2013,Journal of Catalysis,306,,,38,46,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880033046&partnerID=40&md5=65c88e9a1673eafbe9675f14f981a5a6,Article,Scopus,2-s2.0-84880033046
Identification and characterization of membrane proteins from mouse brain tissue,2013,Journal of Proteomics and Bioinformatics,6,6,,142,147,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879779071&partnerID=40&md5=ed5cb7db92c251f24754158cbf6031b0,Article,Scopus,2-s2.0-84879779071
An interior approximal method for solving pseudomonotone equilibrium problems,2013,Journal of Inequalities and Applications,2013,,156,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879654576&partnerID=40&md5=323f6beda82db28e314c601c79632a37,Article,Scopus,2-s2.0-84879654576
Language and ideology in English and Vietnamese business hard news reporting - A comparative study,2013,"3L: Language, Linguistics, Literature",19,2,,1,12,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879657547&partnerID=40&md5=0c802eb9ffeb00c8aaf6dd08ee311fb6,Article,Scopus,2-s2.0-84879657547
Study of starch and sugar degradation and transformation during biotreatment process of wastewater from rice vermicelli production at craft villages in Vietnam,2013,EnvironmentAsia,6,2,,83,88,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879578421&partnerID=40&md5=84ef39a6d4da2d7e54e97ec30e9cbc16,Article,Scopus,2-s2.0-84879578421
Description of a new species of Kibakoganea from Vietnam (Coleoptera: Scarabaeidae: Rutelinae: Rutelini),2013,Zootaxa,3683,2,,192,196,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880361595&partnerID=40&md5=e28caf5338d0dfb7b427d6b0ff736c99,Article,Scopus,2-s2.0-84880361595
"On the polyconvolution for Hartley, Fourier cosine and Fourier sine transforms",2013,Integral Transforms and Special Functions,24,7,,517,531,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880598250&partnerID=40&md5=b2a9a0bb7b99f0152e97383ccabeb650,Article,Scopus,2-s2.0-84880598250
On the existence of solutions to mixed pareto quasivariational inclusion problems,2013,Advances in Nonlinear Variational Inequalities,16,2,,1,22,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84886536995&partnerID=40&md5=aa61d820824c4b54d2d79d5939995cec,Article,Scopus,2-s2.0-84886536995
"An explicit construction of (3, t) -existentially closed graphs",2013,Discrete Applied Mathematics,161,10åé11ì˙,,1651,1654,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84876414200&partnerID=40&md5=e9698b4e88f53691304d15287026ac53,Article,Scopus,2-s2.0-84876414200
Calculation of age-dependent effective doses for external exposure using the MCNP code,2013,Kerntechnik,78,3,,209,213,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882275052&partnerID=40&md5=1a66a96f43f1fa36e991b99bac58c8ef,Article,Scopus,2-s2.0-84882275052
Exopolysaccharide in lactobacillus rhamnosus pn04 after co-culture with leuconostoc mesenteroides Vtcc-b-643,2013,Journal of Applied Pharmaceutical Science,3,7,,14,17,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882736584&partnerID=40&md5=4f95c6d1c1ba7026e7007d0360a2b43c,Article,Scopus,2-s2.0-84882736584
The degenerate convergence criterion and Feller's weak law of large numbers for double arrays in noncommutative probability,2013,Statistics and Probability Letters,83,7,,1812,1818,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84877685895&partnerID=40&md5=cc78a7e2ea44e2b35ecd9204f6687ac6,Article,Scopus,2-s2.0-84877685895
"The protein content of cassava residue, soybean waste and rice bran is increased through fermentation with Aspergillus oryzae",2013,Livestock Research for Rural Development,25,7,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879769372&partnerID=40&md5=5862a1746f4680f07159feda2f1c064a,Article,Scopus,2-s2.0-84879769372
Protein enrichment of cassava by-products using Aspergillus niger and feeding the product to pigs,2013,Livestock Research for Rural Development,25,7,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879772302&partnerID=40&md5=95c9683723f23d137fa3b6aa1504b5ac,Article,Scopus,2-s2.0-84879772302
One-factor model for the cross-correlation matrix in the Vietnamese stock market,2013,Physica A: Statistical Mechanics and its Applications,392,13,,2915,2923,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84876673093&partnerID=40&md5=cf6dc843d69990088e0f84e4b3ef8f10,Article,Scopus,2-s2.0-84876673093
Copper-catalyzed synthesis of Éø-aryl ketones by metal-organic framework MOF-199 as an efficient heterogeneous catalyst,2013,ChemCatChem,5,7,,1822,1831,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879730481&partnerID=40&md5=155d8d1d7d37d9478945dc563fb63c34,Article,Scopus,2-s2.0-84879730481
Study of incorporation of silver nanoparticles onto PE-g-PAAc nonwoven fabric by É¡-irradiation for water treatment,2013,Radiation Physics and Chemistry,88,,,90,94,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84877121893&partnerID=40&md5=12d051bba802f59c27d930324400b54f,Article,Scopus,2-s2.0-84877121893
Combinatorial characterizations of the Cohen-Macaulayness of the second power of edge ideals,2013,Journal of Combinatorial Theory. Series A,120,5,,1073,1086,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875312646&partnerID=40&md5=e99566c6ac9b4e106732b70a7c90a660,Article,Scopus,2-s2.0-84875312646
Effect of coupling agents on the properties of bamboo fiber-reinforced unsaturated polyester resin composites,2013,Composite Interfaces,20,5,,343,353,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879686445&partnerID=40&md5=42b759736914e3ab66ffb2fdb9b929dd,Article,Scopus,2-s2.0-84879686445
Boundedness of the wavelet integral operator on weighted function spaces,2013,Russian Journal of Mathematical Physics,20,3,,268,275,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883650293&partnerID=40&md5=014ff37dec58cde9bebf7eee968f5f51,Article,Scopus,2-s2.0-84883650293
Cenozoic basement structure of the South China Sea and adjacent areas by modeling and interpreting gravity data,2013,Russian Journal of Pacific Geology,7,4,,227,236,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884130235&partnerID=40&md5=769d0103a5b1ef4327c372050fbc522a,Article,Scopus,2-s2.0-84884130235
Thin films containing Mn-doped ZnS nanocrystals synthesised by chemical method and study of some of their optical properties,2013,Journal of Experimental Nanoscience,8,5,,530,538,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878140046&partnerID=40&md5=514204f4ab6c6c49d716a0c7e7dd512a,Article,Scopus,2-s2.0-84878140046
Lattices generated by Chip Firing Game models: Criteria and recognition algorithms,2013,European Journal of Combinatorics,34,5,,812,832,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84873252789&partnerID=40&md5=9ff37d49afda6c50b9f3f22d320f37d4,Article,Scopus,2-s2.0-84873252789
Willingness to pay for methadone maintenance treatment in Vietnamese epicentres of injection-drug-driven HIV infection | Volont? de payer pour le traitement d'entretien ? la m?thadone dans les ?picentres vietnamiens d'infection par le VIH r?sultant de l'injection de drogue,2013,Bulletin of the World Health Organization,91,7,,475,482,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879559444&partnerID=40&md5=fca72e727345ca490a5a99490eb1d900,Article,Scopus,2-s2.0-84879559444
Plastic stress singularity near interface edge of elasto-plastic/elastic bi-material,2013,Computational Materials Science,78,,,140,146,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884901772&partnerID=40&md5=76533a293c2e038b16ef608d7760ae78,Article,Scopus,2-s2.0-84884901772
Laparoscopic management of pyloric atresia in a neonate with epidermolysis bullosa,2013,Journal of Laparoendoscopic and Advanced Surgical Techniques,23,7,,649,650,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879776759&partnerID=40&md5=6fd5397aa6aca3618c69a78b2346f065,Article,Scopus,2-s2.0-84879776759
Performance of CdS/CdSe/ZnS quantum dot-sensitized TiO2 mesopores for solar cells,2013,Chinese Optics Letters,11,7,72501,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883012865&partnerID=40&md5=faa7daf0a371b344bcc25ca9144ff0dc,Article,Scopus,2-s2.0-84883012865
Genetic analysis of ORF5 porcine reproductive and respiratory syndrome virus isolated in Vietnam,2013,Microbiology and Immunology,57,7,,518,526,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880418872&partnerID=40&md5=9f625273ecf08e1d96db374bfcf81cb5,Article,Scopus,2-s2.0-84880418872
On the hit problem for the polynomial algebra,2013,Comptes Rendus Mathematique,351,13-14,,565,568,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883461009&partnerID=40&md5=51d048f2f5c2192d0d94ddee07f9a5c2,Article,Scopus,2-s2.0-84883461009
On a nonlinear difference equation with variable delay,2013,Demonstratio Mathematica,46,1,,123,135,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879379791&partnerID=40&md5=4d0217d340b01a098f7977cf5ac2525d,Article,Scopus,2-s2.0-84879379791
Growth of silicon nanowires by sputtering and evaporation methods,2013,Physica Status Solidi (A) Applications and Materials Science,210,7,,1429,1432,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84881379674&partnerID=40&md5=e1fb191baf9974c5e9885508d3d1c377,Article,Scopus,2-s2.0-84881379674
The impact of minimum wages on employment of low-wage workers: Evidence from Vietnam,2013,Economics of Transition,21,3,,583,615,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880120209&partnerID=40&md5=6e78aa9e34fcfd3fd7cba8d7940f486c,Article,Scopus,2-s2.0-84880120209
Methane production in an in vitro rumen incubation is lower for leaves with low compared with high protein solubility,2013,Livestock Research for Rural Development,25,7,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879756782&partnerID=40&md5=30241516d28c45d3e29c2a7a6abdc9c6,Article,Scopus,2-s2.0-84879756782
Multivalued Tikhonov Trajectories of General Affine Variational Inequalities,2013,Journal of Optimization Theory and Applications,158,1,,85,96,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878771845&partnerID=40&md5=c02f1a05fdb4765e994cc19bf56ebea9,Article,Scopus,2-s2.0-84878771845
"Optical spectra of the colloidal Fe-doped manganate CaMn1-xFexO3 (x = 0, 0.01, 0.03, 0.05)",2013,Journal of the Korean Physical Society,62,12,,2133,2138,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880024704&partnerID=40&md5=b8adae2ee022925db3547c6cc9f75d8e,Article,Scopus,2-s2.0-84880024704
Spatial heterogeneous distribution of SiOx Å® SiO xÅ}1 reactions in silica liquid,2013,Journal of Chemical Physics,138,24,244505,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879936552&partnerID=40&md5=4c9cb4733cb76e8df6a961c022cba753,Article,Scopus,2-s2.0-84879936552
On the volume set of point sets in vector spaces over finite fields,2013,Proceedings of the American Mathematical Society,141,9,,3067,3071,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879285586&partnerID=40&md5=9b3e78b23461a12efe803dcb27d14e28,Article,Scopus,2-s2.0-84879285586
Novel criteria for exponential stability of functional differential equations,2013,Proceedings of the American Mathematical Society,141,9,,3083,3091,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879305818&partnerID=40&md5=a01e94aeba667a185e7e9a39f9876be3,Article,Scopus,2-s2.0-84879305818
Existence and multiplicity of solutions for a degenerate nonlocal elliptic differential equation,2013,Electronic Journal of Differential Equations,2013,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879748079&partnerID=40&md5=7a6af4213ec02df382d91f050e291e93,Article,Scopus,2-s2.0-84879748079
An open metal site metal-organic framework Cu(BDC) as a promising heterogeneous catalyst for the modified Friedl?nder reaction,2013,Applied Catalysis A: General,464-465,,,128,135,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879243800&partnerID=40&md5=a35079a87153ae0c13a2cdd582890fb2,Article,Scopus,2-s2.0-84879243800
LO-phonon-assisted cyclotron resonance linewidth via multiphoton absorption process in cylindrical quantum wire,2013,Superlattices and Microstructures,60,,,508,515,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879195198&partnerID=40&md5=08260b0665964925d87241067291762b,Article,Scopus,2-s2.0-84879195198
Story strength demands of irregular frame buildings under strong earthquakes,2013,Structural Design of Tall and Special Buildings,22,9,,687,699,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878015752&partnerID=40&md5=64a073cb67fd2acb9a762d34f864150d,Article,Scopus,2-s2.0-84878015752
Effects of mixing procedures and rap sizes on stiffness distribution of hot recycled asphalt mixtures,2013,Construction and Building Materials,47,,,728,742,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879103371&partnerID=40&md5=7ededb4bd1bc152b291cb5f0cc21c18d,Article,Scopus,2-s2.0-84879103371
"Local property of the class EÉ‘,loc",2013,Journal of Mathematical Analysis and Applications,402,2,,440,445,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875378333&partnerID=40&md5=6afe86e4afa33b798ec26998ea5ec470,Article,Scopus,2-s2.0-84875378333
An investigation on effect of characteristics of the peanut oil MQL on tool life in hard turning 9CrSi steel,2013,International Journal of Machining and Machinability of Materials,13,4,,428,438,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878772100&partnerID=40&md5=f96bce2e7c795e0d1968a026423fc24f,Article,Scopus,2-s2.0-84878772100
Exact solutions for fixed-fixed anisotropic beams under uniform load by using maple,2013,Jordan Journal of Civil Engineering,7,2,,174,182,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878730408&partnerID=40&md5=c082fbe4603a386d7a917665ec7241ac,Article,Scopus,2-s2.0-84878730408
Study for improving an Duong Lake water quality for Chi Lang Nam stork island conservation and ecotourism development,2013,American Journal of Environmental Sciences,9,3,,218,225,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878910057&partnerID=40&md5=347f8ea62fb35b4dd865885cd1cc9a78,Article,Scopus,2-s2.0-84878910057
Exact numerical solutions of the Schr?dinger equation for a two-dimensional exciton in a constant magnetic field of arbitrary strength,2013,Physica B: Condensed Matter,423,,,31,37,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878529062&partnerID=40&md5=187f4fcc04dc35eff8f4ec0466f5c1ee,Article,Scopus,2-s2.0-84878529062
Generalized Broughton polynomials and characteristic varieties,2013,"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica",21,1,,215,223,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878444560&partnerID=40&md5=5f463f891280b3ab2564dcacd83e8fc8,Article,Scopus,2-s2.0-84878444560
3-3-1-1 model for dark matter,2013,"Physical Review D - Particles, Fields, Gravitation and Cosmology",87,11,115003,,,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879075635&partnerID=40&md5=cf34452b768da9d9368301ac67a3d532,Article,Scopus,2-s2.0-84879075635
"Static, free vibration and buckling analyses of stiffened plates by CS-FEM-DSG3 using triangular elements",2013,Computers and Structures,125,,,100,113,,10,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878282277&partnerID=40&md5=1fc08a1833359053f829c973b229fa93,Article,Scopus,2-s2.0-84878282277
Synthesis and characterization of nano-CuO and CuO/TiO2 photocatalysts,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25002,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894131338&partnerID=40&md5=ab9ae512fe545e7d3aaad04149c0274d,Article,Scopus,2-s2.0-84894131338
Electrosynthesis of polyaniline-mutilwalled carbon nanotube nanocomposite films in the presence of sodium dodecyl sulfate for glucose biosensing,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25014,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894145701&partnerID=40&md5=778544652369733c33c476decc3953fd,Article,Scopus,2-s2.0-84894145701
"Effect of Sesbania sesban foliage on intake, digestibility and N retention of growing goats fed Operculina turpethum forage as the basal diet",2013,Livestock Research for Rural Development,25,6,,13,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878488991&partnerID=40&md5=bcc7796320f72e9d78a9d156a5fb020a,Article,Scopus,2-s2.0-84878488991
Stochastic dynamic equations on time scales,2013,Acta Mathematica Vietnamica,38,2,,317,338,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891940792&partnerID=40&md5=8fd1d90b4d53d6074353e207c447a3bc,Article,Scopus,2-s2.0-84891940792
Well-posedness of a parametric traffic network problem,2013,Nonlinear Analysis: Real World Applications,14,3,,1643,1654,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84872040037&partnerID=40&md5=89fd71d872ac9bfbcdebc15662fd8b29,Article,Scopus,2-s2.0-84872040037
Single trocar laparoscopic-assisted colostomy in newborns,2013,Pediatric Surgery International,29,6,,651,653,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878527930&partnerID=40&md5=e7a0bb0fd0339257b7954a218ff0b5cc,Article,Scopus,2-s2.0-84878527930
Measuring compliance with Viet Nam's mandatory motorcycle helmet legislation,2013,International Journal of Injury Control and Safety Promotion,20,2,,192,196,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878546649&partnerID=40&md5=63e8d11f587a269edc8b4598cf1dc9f6,Article,Scopus,2-s2.0-84878546649
Melting of mesoscale lennard-jones crystals with free surfaces,2013,Journal of the Physical Society of Japan,82,6,64601,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878913667&partnerID=40&md5=2e67cabd796d1cb1069052f37edb4ec1,Article,Scopus,2-s2.0-84878913667
The viangchan-G6PD mutation in Vietnamese-Kinh,2013,International Journal of Human Genetics,13,2,,85,92,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879523990&partnerID=40&md5=6479e92c2ed422e54e9aa98255149d49,Article,Scopus,2-s2.0-84879523990
Spectrum sharing-based multi-hop decode-and-forward relay networks under interference constraints: Performance analysis and relay position optimization,2013,Journal of Communications and Networks,15,3,6559352,266,275,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880853036&partnerID=40&md5=12a98fac1cc25ed486c21aef7e666ca3,Article,Scopus,2-s2.0-84880853036
Health and demographic surveillance system profile the chi linh health and demographic surveillance system (CHILILAB HDSS),2013,International Journal of Epidemiology,42,3,,750,757,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84881584008&partnerID=40&md5=4b43819ddc667d28b3041e5707299311,Article,Scopus,2-s2.0-84881584008
Carbon nanotubes materials and their application to guarantee safety from exposure to electromagnetic fields,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25012,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883863436&partnerID=40&md5=b0a15175c75badd3d80e472c19b035ad,Article,Scopus,2-s2.0-84883863436
"Active fault segmentation and seismic hazard in Hoa-Binh reservoir, Vietnam",2013,Central European Journal of Geosciences,5,2,,223,235,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84881361884&partnerID=40&md5=2bbcf94577cee53a9c281c9c4a32f9b3,Article,Scopus,2-s2.0-84881361884
A comparative study of classical approaches to surface plasmon resonance of colloidal gold nanorods,2013,Gold Bulletin,46,2,,91,96,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879908448&partnerID=40&md5=1da1f56ded51b711ddfee91f54198625,Article,Scopus,2-s2.0-84879908448
New H Åá controller design for neural networks with interval time-varying delays in state and observation,2013,Neural Processing Letters,37,3,,235,249,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878147326&partnerID=40&md5=9e589c5b8c67ed021add339a9d215793,Article,Scopus,2-s2.0-84878147326
A characterization of co-harada ring,2013,Asian-European Journal of Mathematics,6,2,1350017,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879044036&partnerID=40&md5=c751408ee1b0656928f9b38fb30a2fa4,Article,Scopus,2-s2.0-84879044036
Surfaces of revolution with constant gaussian curvature in four-space,2013,Asian-European Journal of Mathematics,6,2,1350021,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880397152&partnerID=40&md5=b3c1823d6fae118d7457cc3266053e4a,Article,Scopus,2-s2.0-84880397152
Interior estimates in sup-norm for generalized potential vectors: An International Journal,2013,Complex Variables and Elliptic Equations,58,6,,813,820,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878627530&partnerID=40&md5=3f14334e76bef8b715b7173e7d52c3b7,Article,Scopus,2-s2.0-84878627530
Combined laparoscopic and modified posterior sagittal approach saving the external sphincter for rectourethral fistula: An easier and more physiologic approach,2013,Journal of Pediatric Surgery,48,6,,1450,1453,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84880001773&partnerID=40&md5=b8387ccd8407783068bd2a24dd528b93,Article,Scopus,2-s2.0-84880001773
Preparation of curcumin-loaded pluronic F127/chitosan nanoparticles for cancer therapy,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25001,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894198191&partnerID=40&md5=5e36f88da526a9bfec00fdf185d8f2f0,Article,Scopus,2-s2.0-84894198191
Preparation of nanosilver colloidal solution by anodic dissolution under High DC Voltage,2013,Electrochemistry,81,6,,454,459,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878968171&partnerID=40&md5=9d943e5b738dba209cac424812d275a2,Article,Scopus,2-s2.0-84878968171
"Toxicity, analgesic and anti-inflammatory activities of tectorigenin",2013,Immunopharmacology and Immunotoxicology,35,3,,336,340,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84877853919&partnerID=40&md5=60908d5bfcacb763c2150283e87163cf,Article,Scopus,2-s2.0-84877853919
On the dynamics generated by a class of functional evolution inclusions,2013,Journal of Mathematical Analysis and Applications,402,1,,275,285,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875376791&partnerID=40&md5=06a50a79e9403a9749a7edfd836f03fe,Article,Scopus,2-s2.0-84875376791
Strong Solutions to a Strongly Degenerate Semilinear Parabolic Equation,2013,Vietnam Journal of Mathematics,41,2,,217,232,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894315132&partnerID=40&md5=a7b3211a3651173a80cf0d0a277d7b4a,Article,Scopus,2-s2.0-84894315132
On the non-vanishing and the artinianness of generalized local cohomology modules,2013,Journal of Algebra and its Applications,12,4,1250203,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875052691&partnerID=40&md5=cfbd62944b81c3d4a53b09fef34ba303,Article,Scopus,2-s2.0-84875052691
Division of the Dickson algebra by the Steinberg unstable module,2013,Comptes Rendus Mathematique,351,11åé12ì˙,,425,428,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84881614424&partnerID=40&md5=3d6f31d4b3334bdce4ef2be732e0380b,Article,Scopus,2-s2.0-84881614424
The energy-aware operational time of wireless Ad-Hoc sensor networks,2013,Mobile Networks and Applications,18,3,,454,463,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878705329&partnerID=40&md5=c49751708debb2183b1130dec9783d73,Article,Scopus,2-s2.0-84878705329
Comparison studies of open and breathing crack detections of a beam-like bridge subjected to a moving vehicle,2013,Engineering Structures,51,,,306,314,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84874782711&partnerID=40&md5=81bc1900eb6f657917710bfaccd91013,Article,Scopus,2-s2.0-84874782711
A comparison principle for the log canonical threshold,2013,Comptes Rendus Mathematique,351,11åé12ì˙,,441,443,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84881613091&partnerID=40&md5=b3be3330b4dea5bc2dd76dd49e8a7901,Article,Scopus,2-s2.0-84881613091
Long time behavior of solutions to semilinear parabolic equations involving strongly degenerate elliptic differential operators,2013,Nonlinear Differential Equations and Applications,20,3,,1213,1224,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878412873&partnerID=40&md5=d5c15a4de35cca7c021f67f48f6b8903,Article,Scopus,2-s2.0-84878412873
Computer simulation of diffusion in silica liquid under temperature and pressure,2013,European Physical Journal E,36,6,,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879957389&partnerID=40&md5=3d2cc88e8ad30e1214dbc8b590e71fcc,Article,Scopus,2-s2.0-84879957389
Laparoscopic surgery for choledochal cysts,2013,Journal of Hepato-Biliary-Pancreatic Sciences,20,5,,487,491,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878962712&partnerID=40&md5=1e441afc641f3f6d2d153d9bbc29c562,Article,Scopus,2-s2.0-84878962712
Improved performances in light-emitting diodes based on a semiconductor TiO2 nano cluster buffer layer,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25013,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894224725&partnerID=40&md5=9dea6220d4cdd04c4418d7290a80a1c4,Article,Scopus,2-s2.0-84894224725
A Uniqueness Theorem for Holomorphic Curves on Annulus Sharing 2n+3 Hyperplanes,2013,Vietnam Journal of Mathematics,41,2,,167,179,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894367745&partnerID=40&md5=a78ff10c9e8d8f10294dea323cc29b16,Article,Scopus,2-s2.0-84894367745
Effect of offering fresh duckweed (Lemna minor) to chickens fed restricted levels of maize meal and protein concentrate in confinement,2013,Livestock Research for Rural Development,25,6,,7,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878478815&partnerID=40&md5=33942ffb1b0512c7adebef6a1c8994ae,Article,Scopus,2-s2.0-84878478815
Docetaxel and curcumin-containing poly(ethylene glycol)-block-poly(s- caprolactone) polymer micelles,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25006,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891375777&partnerID=40&md5=37e25775ccee3d09690ade17aaaabd62,Article,Scopus,2-s2.0-84891375777
Coalgebraic aspects of context-awareness,2013,Mobile Networks and Applications,18,3,,391,397,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878711947&partnerID=40&md5=df27b4826216aa7dcbc47d9afb83c4ad,Article,Scopus,2-s2.0-84878711947
A method to obtain homogeneously dispersed carbon nanotubes in Al powders for preparing Al/CNTs nanocomposite,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,2,25015,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894212819&partnerID=40&md5=c2f3a6709ab04580d16e2f080624895b,Article,Scopus,2-s2.0-84894212819
