Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
"Methylation profile of BRCA1, RASSF1A and ER in Vietnamese women with ovarian cancer",2013,Asian Pacific Journal of Cancer Prevention,14,12,,7713,7718,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893363233&partnerID=40&md5=28fa30b748827d9243144eb0689585f9,Article,Scopus,2-s2.0-84893363233
Effect of carriers on physico-chemical properties and activity of Pd nano-catalyst in n-hexane isomerization,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45001,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894189607&partnerID=40&md5=0b5595841cde2ebb5f420af82d529faa,Article,Scopus,2-s2.0-84894189607
Cross-flow membrane emulsification technique for fabrication of drug-loaded particles,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45008,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894162001&partnerID=40&md5=f86d6b87dc9f662a6c3c7c2251d6f641,Article,Scopus,2-s2.0-84894162001
In Vitro Characterization of a Recombinant AHL-Lactonase from Bacillus cereus Isolated from a Striped Catfish (Pangasianodon hypophthalmus) Pond,2013,Indian Journal of Microbiology,53,4,,485,487,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884668908&partnerID=40&md5=aedf645b0637941de55de9b6c17fd849,Article,Scopus,2-s2.0-84884668908
Access of older persons to health insurance and health-care services in Viet Nam: Current state and policy options,2013,Asia-Pacific Population Journal,28,2,,69,89,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897624859&partnerID=40&md5=79a453c48a236ed0cf13474831f81f14,Article,Scopus,2-s2.0-84897624859
Investigating the effects of running factors on the partial nitritation for removing high nitrogen concentration from synthesis wastewater,2013,International Journal of Earth Sciences and Engineering,6,4,,617,621,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892533528&partnerID=40&md5=7d04a76d81a7af0e7fd14eb7d542377c,Article,Scopus,2-s2.0-84892533528
Multiple solutions for a p(x)-Kirchhoff-type equation with sign-changing nonlinearities,2013,Complex Variables and Elliptic Equations,58,12,,1637,1646,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-84886380997&partnerID=40&md5=93120661b5b34c3c533eec314cb33de8,Article,Scopus,2-s2.0-84886380997
The Latest United States sanctions against Iran: What role to the WTO security exceptions?,2013,Journal of Conflict and Security Law,18,3,,365,393,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890294519&partnerID=40&md5=785fdc0b40da4e35c34abf5e97e181a3,Article,Scopus,2-s2.0-84890294519
"On Galois cohomology of semisimple groups over local and global fields of positive characteristic, III",2013,Mathematische Zeitschrift,275,3åé4ì˙,,1287,1315,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888134236&partnerID=40&md5=cc5d2426c921bcf2ba7f553a468ea712,Article,Scopus,2-s2.0-84888134236
Cloning and Expression of Genes Encoding F107-C and K88-1NT Fimbrial Proteins of Enterotoxigenic Escherichia coli from Piglets,2013,Indian Journal of Microbiology,53,4,,488,491,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84884672002&partnerID=40&md5=6cd447eeeaf315ad598d30adff14e266,Article,Scopus,2-s2.0-84884672002
Synthesis of magnetic composite nanoparticles enveloped in copolymers specified for scale inhibition application,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45016,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894184033&partnerID=40&md5=632706d108e1e15157c8311bfe971322,Article,Scopus,2-s2.0-84894184033
Synthesis of amorphous silica and sulfonic acid functionalized silica used as reinforced phase for polymer electrolyte membrane,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45007,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894212932&partnerID=40&md5=3c566ba92e827cde3a5e117c6a0bc4cd,Article,Scopus,2-s2.0-84894212932
Nonlinear postbuckling of imperfect eccentrically stiffened P-FGM double curved thin shallow shells on elastic foundations in thermal environments,2013,Composite Structures,106,,,590,600,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883394981&partnerID=40&md5=c34023b3dd85e56eb511deca5ce9c32b,Article,Scopus,2-s2.0-84883394981
Synthesis and application of graphene-silver nanowires composite for ammonia gas sensing,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45012,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894143653&partnerID=40&md5=02d493778116cfb4facd1409d0805055,Article,Scopus,2-s2.0-84894143653
Dendrimer-based nanocarriers demonstrating a high efficiency for loading and releasing anticancer drugs against cancer cells in vitro and in vivo,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45013,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894213456&partnerID=40&md5=a545e7534fb4a7f481c51395c3b9b7cf,Article,Scopus,2-s2.0-84894213456
The Completion of a Classification for Maximal Nonhamiltonian Burkard-Hammer Graphs,2013,Vietnam Journal of Mathematics,41,4,,465,505,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894314674&partnerID=40&md5=6705e45c91d45c066a71088bcb934a32,Article,Scopus,2-s2.0-84894314674
Transition from type-I to type-II CdTe/CdS core/shell quantum dots synthesized in water at low temperature,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45010,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894118645&partnerID=40&md5=6f2d2ce2bad6417a84cd395eb0c6b4f1,Article,Scopus,2-s2.0-84894118645
Investigation of typical properties of nanocrystalline iron powders prepared by ball milling techniques,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45003,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894202297&partnerID=40&md5=097351dd4b1817f1426ef09b304f51bc,Article,Scopus,2-s2.0-84894202297
Effect of binder and sweeteners on the production of effervescent artichoke (Cynara scolymusL.) tea tablets,2013,Journal of Food Processing and Preservation,37,6,,1078,1083,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889633888&partnerID=40&md5=251bb85064d3f044c514b866f2f85367,Article,Scopus,2-s2.0-84889633888
On H?lder Calmness and H?lder Well-Posedness of Vector Quasi-Equilibrium Problems,2013,Vietnam Journal of Mathematics,41,4,,507,517,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894379054&partnerID=40&md5=335bc078d35d90baca31ba451aace9be,Article,Scopus,2-s2.0-84894379054
Castelnuovo-mumford regularity of associated graded modules in dimension one,2013,Acta Mathematica Vietnamica,38,4,,541,550,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893154788&partnerID=40&md5=8f5563c01955ed07ea3f187f7fccd265,Article,Scopus,2-s2.0-84893154788
Optimization of nutritional composition and fermentation conditions for cellulase and pectinase production by Aspergillus oryzae using response surface methodology,2013,International Food Research Journal,20,6,,3269,3274,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891639918&partnerID=40&md5=e474671f9824790841b11ec5f760fa91,Article,Scopus,2-s2.0-84891639918
On the rate of convergence in limit theorems for random sums via trotter-distance,2013,Journal of Inequalities and Applications,2013,,404,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894505254&partnerID=40&md5=22b05102272c381ada3ff7325f6efd60,Article,Scopus,2-s2.0-84894505254
Genetic variation of the heart fatty acid-binding protein gene and their associations with meat quality in Native black pig of Viet Nam,2013,Bulgarian Journal of Agricultural Science,19,5,,897,902,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893771918&partnerID=40&md5=96399c92bcf31ba302b3887c6f364b37,Article,Scopus,2-s2.0-84893771918
Vietnam's hedging strategy against China since normalization,2013,Contemporary Southeast Asia,35,3,,333,368,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890367441&partnerID=40&md5=ca9300f704e6de19d6992ac4461118fe,Article,Scopus,2-s2.0-84890367441
The Fourier-Laplace Generalized Convolutions and Applications to Integral Equations,2013,Vietnam Journal of Mathematics,41,4,,451,464,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894322767&partnerID=40&md5=b683a097883dd92d3a7dd668ebe190db,Article,Scopus,2-s2.0-84894322767
Cauchy problems for functional evolution inclusions involving accretive operators,2013,Electronic Journal of Qualitative Theory of Differential Equations,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892419685&partnerID=40&md5=769af944a3c0597788ca742d0857f3ce,Article,Scopus,2-s2.0-84892419685
Instability of eccentrically stiffened functionally graded truncated conical shells under mechanical loads,2013,Composite Structures,106,,,104,113,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883389223&partnerID=40&md5=a07d000aa5349670fccd0639e0a98644,Article,Scopus,2-s2.0-84883389223
A linear recursive scheme associated with the love equation,2013,Acta Mathematica Vietnamica,38,4,,551,562,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893030314&partnerID=40&md5=4f647b8cdc544479b0fe3718bd8e66b9,Article,Scopus,2-s2.0-84893030314
SLLN for double array of mixing dependence random sets and fuzzy random sets in a separable banach space,2013,Journal of Convex Analysis,20,4,,971,998,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894158036&partnerID=40&md5=7767f5bc66ae3db3df897e58d97994a3,Article,Scopus,2-s2.0-84894158036
A high speed block cipher algorithm,2013,International Journal of Security and its Applications,7,6,,43,54,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891795390&partnerID=40&md5=f1e08fa64fa5bbf7f1de424174f47b6c,Article,Scopus,2-s2.0-84891795390
Analysis of the membrane proteins in human serum,2013,Journal of Proteomics and Bioinformatics,6,12,,296,301,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891683169&partnerID=40&md5=39d16bf42d56c473a2226ff5f7c0baaf,Article,Scopus,2-s2.0-84891683169
On compactness of the Å›?-neumann operator on r-convex domains,2013,Acta Mathematica Vietnamica,38,4,,575,586,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893111105&partnerID=40&md5=afc42f4df4eb5e9be778632f95ded3a4,Article,Scopus,2-s2.0-84893111105
"Social protection for older people in vietnam: Role, challenges and reform options",2013,Malaysian Journal of Economic Studies,50,2,,207,219,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889834259&partnerID=40&md5=ced0e7e49649dd712e30e0d6363747ce,Article,Scopus,2-s2.0-84889834259
Preparation and biological properties of platinum(II) complex-loaded copolymer PLA-TPGS,2013,Journal of Nanomaterials,2013,,768628,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893861173&partnerID=40&md5=11097972e42697f0652b31b2e7113283,Article,Scopus,2-s2.0-84893861173
Generalized random linear operators on a Hilbert space,2013,Stochastics,85,6,,1040,1059,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84885429726&partnerID=40&md5=4de9f4f1d64a7d80dc56feb7f7d233e4,Article,Scopus,2-s2.0-84885429726
A semi-supervised learning method combined with dimensionality reduction in Vietnamese text summarization,2013,"International Journal of Innovative Computing, Information and Control",9,12,,4903,4915,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84886420995&partnerID=40&md5=0d5ebeb4c77f0596263314a7017cb457,Article,Scopus,2-s2.0-84886420995
On the attached primes and shifted localization principle for local cohomology modules,2013,Algebra Colloquium,20,4,,671,680,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84885414825&partnerID=40&md5=01e1853e3cdea5628c99b3f670b73f94,Article,Scopus,2-s2.0-84885414825
Unicity of Meromorphic Mappings Sharing Few Moving Hyperplanes,2013,Vietnam Journal of Mathematics,41,4,,383,398,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894356859&partnerID=40&md5=b8ea8489c7779238c7dfcd3de35d7661,Article,Scopus,2-s2.0-84894356859
Removing of high nitrogen concentration from synthesis wastewater by Single-stage using anammox and partial nitritation (SNAP) with acrylic fiber fabrics as biomass carrier,2013,International Journal of Earth Sciences and Engineering,6,4,,638,642,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892518072&partnerID=40&md5=5b6fcde13444e9b45b25213223ccff02,Article,Scopus,2-s2.0-84892518072
Relaxor ferroelectric properties of PZT-PZN-PMnN ceramics,2013,Indian Journal of Engineering and Materials Sciences,20,6,,555,560,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892764120&partnerID=40&md5=e4f1d1eaabf8ab9a668ce201869be160,Article,Scopus,2-s2.0-84892764120
Bounds for the approximation of Poisson-binomial distribution by Poisson distribution,2013,Journal of Inequalities and Applications,2013,,30,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894238954&partnerID=40&md5=d3fdd85e23ea20662d7efa018630b655,Article,Scopus,2-s2.0-84894238954
Coherent potential approximation study of the Mott transition in optical lattice system with site-dependent interactions,2013,European Physical Journal B,86,12,503,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84892384371&partnerID=40&md5=57abae93988a14caa2a6b50d5a538fd8,Article,Scopus,2-s2.0-84892384371
Pressure-dependent EXAFS mean-square relative displacements of germanium and silicon crystals,2013,High Pressure Research,33,4,,768,776,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84890424973&partnerID=40&md5=8880bbc6bb8e455a536b691af9506430,Article,Scopus,2-s2.0-84890424973
On some classes of É÷-plurisubharmonic functions on compact K?hler manifolds,2013,Acta Mathematica Vietnamica,38,4,,617,625,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893096159&partnerID=40&md5=866e5eea37ed02939333095b302a1a12,Article,Scopus,2-s2.0-84893096159
Algorithms for a class of bilevel programs involving pseudomonotone variational inequalities,2013,Acta Mathematica Vietnamica,38,4,,529,540,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893135471&partnerID=40&md5=6f7b2ab2e5c240a9e1b52f9d43a771e4,Article,Scopus,2-s2.0-84893135471
Increasing spatial resolution of remotely sensed image using HNN Super-resolution mapping combined with a forward model,2013,Journal of the Korean Society of Surveying Geodesy Photogrammetry and Cartography,31,6 PART 2,,559,565,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894200796&partnerID=40&md5=c26fb27af5f25262c74784b7e16d04c5,Article,Scopus,2-s2.0-84894200796
On four-variable expanders in finite fields,2013,SIAM Journal on Discrete Mathematics,27,4,,2038,2048,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891307928&partnerID=40&md5=0038a84cd9d93e168df5fab959f2f087,Article,Scopus,2-s2.0-84891307928
Stability of a solution set for parametric generalized vector mixed quasivariational inequality problem,2013,Journal of Inequalities and Applications,2013,,276,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894459798&partnerID=40&md5=23870baadc6b713f40c2efeea861e0f1,Article,Scopus,2-s2.0-84894459798
Synthesis of silver nanoparticles deposited on silica by É¡-irradiation and preparation of PE/Ag nano compound masterbatches,2013,Advances in Natural Sciences: Nanoscience and Nanotechnology,4,4,45004,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894132808&partnerID=40&md5=4a48e5526f7399290c708dc5928c5d5a,Article,Scopus,2-s2.0-84894132808
The Impact of Social Security on Household Welfare: Evidence from a Transition Country,2013,European Journal of Development Research,25,5,,737,757,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84887652619&partnerID=40&md5=76a3e87cbc6a422744b489793334b60c,Article,Scopus,2-s2.0-84887652619
Quantitative trait loci (QTLs) associated with drought tolerance in rice (Oryza sativa L.),2013,Sabrao Journal of Breeding and Genetics,45,3,,409,421,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84896891461&partnerID=40&md5=aff48601dbae5b77176d8ac3020808a0,Article,Scopus,2-s2.0-84896891461
Smooth model ofsystem with diode nonlinearity,2013,Acta Mathematica Vietnamica,38,4,,607,616,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893144860&partnerID=40&md5=f8801c456706ef1b72d9080b51fc5959,Article,Scopus,2-s2.0-84893144860
Some extensions of the four values theorem of Nevanlinna-Gundersen,2013,Kodai Mathematical Journal,36,3,,579,595,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897852796&partnerID=40&md5=9412c57e2cceeab2dffddd1280a16d0e,Article,Scopus,2-s2.0-84897852796
Social and ecological challenges of market-oriented shrimp farming in Vietnam,2013,SpringerPlus,2,1,,1,10,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891445301&partnerID=40&md5=351ab2bbf472dfb2a470fe5f99fea4ec,Article,Scopus,2-s2.0-84891445301
"Description of a new species of the genus Neolucanus Thomson, 1862 (Coleoptera: Lucanidae) from central Vietnam",2013,Zootaxa,3741,3,,377,384,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888879768&partnerID=40&md5=8cab52d2ea48ba131cc15a28b17f75a6,Article,Scopus,2-s2.0-84888879768
"Robust stability of delay equations in Lp([-h, 0];X) under parameter perturbations",2013,Rocky Mountain Journal of Mathematics,43,5,,1427,1449,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888161674&partnerID=40&md5=9748cab88ebd9f53153fdf4dd2b1fe1a,Article,Scopus,2-s2.0-84888161674
Existence and global asymptotic stability of positive periodic solutions of a Lotka-Volterra type competition systems with delays and feedback controls,2013,Electronic Journal of Differential Equations,2013,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888425291&partnerID=40&md5=14a637b672d3934c16dacfdcba768e53,Article,Scopus,2-s2.0-84888425291
On the solvability of the boundary value problem without initial condition for Schr?dinger systems in infinite cylinders,2013,Boundary Value Problems,2013,,156,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84887886022&partnerID=40&md5=4ce8a8d9ef48b6dbcadfdf9b77b8c605,Article,Scopus,2-s2.0-84887886022
Solvability and existence of asymptotically stable solutions for a volterra-hammerstein integral equation on an infinite interval,2013,Journal of Integral Equations and Applications,25,2,,295,319,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84887725096&partnerID=40&md5=dc0843cfd7a66c9da379820fd3e2ce96,Article,Scopus,2-s2.0-84887725096
Algebraic dependence and unicity theorem with a truncation level to 1 of meromorphic mappings sharing moving targets,2013,Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,56,4,,513,526,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84887585412&partnerID=40&md5=0e8fb622a737c74ccd7b1f2fed9c4bc1,Article,Scopus,2-s2.0-84887585412
3-3-1 model with inert scalar triplet,2013,"Physical Review D - Particles, Fields, Gravitation and Cosmology",88,9,95014,,,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-84888271850&partnerID=40&md5=f15d8d27cbfa2caaa35e652da1215d22,Article,Scopus,2-s2.0-84888271850
The role of biochar in the sustainability and competitiveness of agricultural systems | El papel del biocarbono en la sostenibilidad y competitividad de sistemas agropecuarios,2013,Revista Colombiana de Ciencias Pecuarias,26,SUPPL.,,304,312,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84887330904&partnerID=40&md5=d1b7fb863db86e3e24004bad0cfef463,Article,Scopus,2-s2.0-84887330904
Two-Exciton States and Coherent Third-Order Response from Semiconductor Quantum Wells,2013,Journal of Russian Laser Research,34,5,,424,433,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891161856&partnerID=40&md5=1884cdb11e59aa04f38a0ccdd6d8197c,Article,Scopus,2-s2.0-84891161856
Protecting entanglement of atoms stored in a common nonperfect cavity without measurements,2013,"Physics Letters, Section A: General, Atomic and Solid State Physics",377,38,,2520,2523,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84883824986&partnerID=40&md5=b392e7cf6bc8c21608d4bbf887df1d87,Article,Scopus,2-s2.0-84883824986
